name,age,gender,country,state,city,parent_occupation,earning_class,level_of_student,level_of_course,course_name,time_spent_per_day,material_name,material_level,iq_of_student,assessment_score,promoted_or_skipped
Student_36,17,Female,India,Karnataka,Hubli,Government Job,High,Advanced,Intermediate,Python,3.91,PDF,Medium,158,94,Promoted
Student_37,10,Female,India,Tamil Nadu,Chennai,Teacher,Middle,Beginner,Advanced,SQL,5.4,College,Hard,96,88,Promoted
Student_38,9,Female,India,Karnataka,Mysore,Government Job,High,Beginner,Basic,Python,5.32,Online Learning,Hard,94,77,Promoted
Student_39,12,Female,India,West Bengal,Kolkata,Engineer,Low,Beginner,Intermediate,Python,4.25,Book,Hard,96,82,Promoted
Student_40,14,Male,India,Karnataka,Hubli,Engineer,Middle,Advanced,Intermediate,Java,4.63,PDF,Hard,81,77,Promoted
Student_41,14,Male,India,Maharashtra,Nagpur,Business,High,Advanced,Basic,Java,3.71,Tutor,Hard,96,83,Promoted
Student_42,14,Female,India,Delhi,New Delhi,Government Job,Middle,Advanced,Advanced,Java,5.4,Tutor,Hard,96,85,Promoted
Student_43,15,Female,India,Tamil Nadu,Chennai,Engineer,High,Intermediate,Basic,Python,5.47,Book,Medium,111,88,Promoted
Student_44,12,Female,India,Delhi,Dwarka,Teacher,High,Intermediate,Intermediate,JavaScript,5.08,Book,Hard,112,89,Promoted
Student_45,12,Female,India,Delhi,Karol Bagh,Engineer,Middle,Intermediate,Basic,C++,4.63,Online Learning,Easy,91,80,Promoted
Student_46,10,Male,India,Delhi,Karol Bagh,Business,Middle,Beginner,Advanced,JavaScript,5.03,College,Easy,104,90,Promoted
Student_47,12,Male,India,Karnataka,Bangalore,Government Job,Low,Intermediate,Basic,SQL,4.95,Tutor,Easy,135,94,Promoted
Student_48,9,Male,India,Delhi,Dwarka,Business,High,Intermediate,Basic,C++,3.23,PDF,Hard,111,82,Promoted
Student_49,16,Female,India,Delhi,Karol Bagh,Government Job,Middle,Advanced,Basic,JavaScript,3.17,PDF,Easy,90,75,Promoted
Student_50,15,Male,India,West Bengal,Kolkata,Business,Middle,Intermediate,Basic,C++,3.96,PDF,Easy,91,70,Skipped
Student_51,15,Female,India,Tamil Nadu,Madurai,Government Job,Low,Intermediate,Advanced,JavaScript,5.4,Online Learning,Hard,92,86,Promoted
Student_52,14,Female,India,West Bengal,Durgapur,Business,High,Beginner,Advanced,Python,5.25,Book,Hard,136,100,Promoted
Student_53,11,Male,India,Maharashtra,Pune,Other,High,Beginner,Advanced,JavaScript,4.57,College,Hard,110,83,Promoted
Student_54,11,Male,India,Maharashtra,Nagpur,Engineer,Middle,Beginner,Intermediate,C++,5.1,Book,Hard,141,90,Promoted
Student_55,9,Female,India,Delhi,New Delhi,Other,High,Intermediate,Advanced,SQL,4.77,Tutor,Easy,112,87,Promoted
Student_56,11,Female,India,Maharashtra,Mumbai,Engineer,High,Beginner,Basic,Python,5.92,College,Hard,141,100,Promoted
Student_57,6,Male,India,Karnataka,Hubli,Teacher,Middle,Intermediate,Advanced,Python,5.27,College,Medium,101,88,Promoted
Student_58,13,Male,India,Maharashtra,Pune,Doctor,Middle,Intermediate,Basic,SQL,5.14,College,Easy,136,99,Promoted
Student_59,10,Male,India,Tamil Nadu,Coimbatore,Doctor,High,Intermediate,Intermediate,SQL,5.11,Book,Hard,138,93,Promoted
Student_60,6,Male,India,Delhi,Karol Bagh,Doctor,Low,Advanced,Intermediate,Java,4.06,Book,Easy,129,97,Promoted
Student_61,7,Female,India,Tamil Nadu,Chennai,Teacher,Middle,Intermediate,Basic,JavaScript,3.55,Tutor,Easy,88,78,Promoted
Student_62,14,Male,India,West Bengal,Howrah,Other,High,Beginner,Advanced,SQL,3.33,College,Hard,142,91,Promoted
Student_63,11,Male,India,Tamil Nadu,Madurai,Other,Middle,Intermediate,Basic,C++,5.16,Tutor,Easy,142,100,Promoted
Student_64,6,Male,India,Maharashtra,Mumbai,Engineer,Middle,Advanced,Intermediate,Java,3.93,Tutor,Hard,147,94,Promoted
Student_65,12,Female,India,Maharashtra,Nagpur,Engineer,High,Beginner,Advanced,Python,5.98,Book,Hard,84,85,Promoted
Student_66,7,Female,India,West Bengal,Kolkata,Teacher,Low,Intermediate,Intermediate,SQL,5.01,Book,Hard,134,95,Promoted
Student_67,8,Male,India,Delhi,New Delhi,Business,High,Beginner,Advanced,Python,5.26,College,Medium,154,100,Promoted
Student_68,10,Male,India,West Bengal,Howrah,Government Job,High,Beginner,Basic,Java,5.18,Book,Medium,98,81,Promoted
Student_69,12,Male,India,West Bengal,Durgapur,Teacher,Low,Beginner,Advanced,Python,5.21,Online Learning,Easy,94,78,Promoted
Student_70,11,Female,India,Tamil Nadu,Chennai,Doctor,Middle,Beginner,Intermediate,SQL,5.64,Book,Medium,147,96,Promoted
Student_71,9,Male,India,Tamil Nadu,Chennai,Doctor,Middle,Beginner,Basic,Python,6.18,Book,Medium,97,92,Promoted
Student_72,13,Male,India,Maharashtra,Pune,Business,High,Intermediate,Advanced,C++,5.48,PDF,Easy,137,96,Promoted
Student_73,8,Male,India,Delhi,Karol Bagh,Teacher,Low,Advanced,Basic,C++,4.04,PDF,Easy,124,88,Promoted
Student_74,16,Male,India,Maharashtra,Pune,Business,Low,Beginner,Basic,JavaScript,4.68,Online Learning,Easy,121,100,Promoted
Student_75,15,Male,India,Tamil Nadu,Chennai,Doctor,High,Intermediate,Basic,JavaScript,3.9,Tutor,Medium,155,93,Promoted
Student_76,15,Male,India,Maharashtra,Pune,Other,Low,Advanced,Advanced,Java,3.83,Online Learning,Medium,150,81,Promoted
Student_77,17,Female,India,Maharashtra,Mumbai,Government Job,Middle,Intermediate,Basic,Python,4.71,College,Hard,96,71,Skipped
Student_78,10,Female,India,Delhi,Dwarka,Doctor,Low,Advanced,Intermediate,Java,5.84,Online Learning,Hard,91,86,Promoted
Student_79,12,Female,India,Delhi,Karol Bagh,Engineer,Middle,Beginner,Intermediate,JavaScript,5.2,Online Learning,Medium,126,87,Promoted
Student_80,11,Female,India,Tamil Nadu,Coimbatore,Doctor,High,Beginner,Intermediate,C++,4.48,Online Learning,Medium,106,86,Promoted
Student_81,6,Female,India,Tamil Nadu,Madurai,Doctor,High,Intermediate,Advanced,JavaScript,4.34,Tutor,Hard,136,94,Promoted
Student_82,17,Female,India,Karnataka,Hubli,Business,Middle,Advanced,Advanced,JavaScript,2.94,Online Learning,Hard,96,88,Promoted
Student_83,14,Female,India,Maharashtra,Pune,Doctor,High,Advanced,Advanced,Java,3.89,College,Medium,124,88,Promoted
Student_84,14,Male,India,Tamil Nadu,Chennai,Business,High,Intermediate,Advanced,JavaScript,4.54,Tutor,Hard,116,81,Promoted
Student_85,15,Female,India,West Bengal,Kolkata,Engineer,Middle,Beginner,Intermediate,Java,4.66,College,Medium,125,87,Promoted
Student_86,12,Female,India,Karnataka,Mysore,Engineer,Low,Advanced,Advanced,C++,2.55,College,Hard,128,83,Promoted
Student_87,8,Female,India,Karnataka,Mysore,Other,Low,Intermediate,Intermediate,JavaScript,3.27,PDF,Medium,124,86,Promoted
Student_88,8,Female,India,Maharashtra,Nagpur,Business,Low,Intermediate,Advanced,C++,3.32,PDF,Easy,140,96,Promoted
Student_89,12,Male,India,Delhi,New Delhi,Other,Middle,Intermediate,Advanced,Python,4.24,Online Learning,Hard,109,83,Promoted
Student_90,15,Female,India,Delhi,Karol Bagh,Business,Middle,Advanced,Intermediate,JavaScript,6.26,College,Medium,158,97,Promoted
Student_91,9,Female,India,Tamil Nadu,Madurai,Other,High,Advanced,Intermediate,C++,4.62,Online Learning,Hard,151,100,Promoted
Student_92,11,Male,India,Delhi,Karol Bagh,Engineer,Middle,Advanced,Intermediate,Java,4.41,Tutor,Hard,152,94,Promoted
Student_93,9,Male,India,Karnataka,Hubli,Engineer,Middle,Advanced,Intermediate,Python,4.34,Book,Medium,153,94,Promoted
Student_94,15,Male,India,Karnataka,Hubli,Business,High,Beginner,Basic,Java,2.89,Online Learning,Hard,155,85,Promoted
Student_95,6,Female,India,Karnataka,Mysore,Government Job,Middle,Beginner,Basic,Python,4.52,PDF,Easy,96,74,Skipped
Student_96,10,Female,India,Delhi,Dwarka,Teacher,High,Intermediate,Advanced,C++,5.2,Book,Easy,137,82,Promoted
Student_97,11,Female,India,West Bengal,Kolkata,Engineer,Low,Beginner,Intermediate,Java,5.39,PDF,Easy,98,87,Promoted
Student_98,11,Male,India,West Bengal,Howrah,Other,Middle,Intermediate,Intermediate,JavaScript,3.97,College,Easy,117,83,Promoted
Student_99,9,Male,India,Tamil Nadu,Chennai,Government Job,High,Beginner,Basic,SQL,4.21,PDF,Easy,110,87,Promoted
Student_100,7,Male,India,West Bengal,Kolkata,Business,Low,Intermediate,Intermediate,JavaScript,2.97,College,Medium,92,74,Skipped
Student_101,8,Male,India,Delhi,Dwarka,Engineer,Low,Beginner,Advanced,JavaScript,8.02,College,Hard,136,100,Promoted
Student_102,17,Male,India,Delhi,New Delhi,Teacher,Middle,Advanced,Advanced,C++,4.47,Tutor,Medium,82,78,Promoted
Student_103,16,Female,India,Delhi,Karol Bagh,Engineer,High,Advanced,Intermediate,Java,3.55,Tutor,Hard,82,73,Skipped
Student_104,9,Female,India,West Bengal,Durgapur,Teacher,Middle,Beginner,Basic,JavaScript,3.75,College,Easy,112,78,Promoted
Student_105,10,Female,India,Delhi,New Delhi,Business,High,Advanced,Advanced,Python,4.27,PDF,Medium,122,87,Promoted
Student_106,14,Male,India,Delhi,Dwarka,Government Job,Low,Advanced,Basic,SQL,2.34,Online Learning,Easy,131,81,Promoted
Student_107,16,Male,India,Delhi,Karol Bagh,Other,Low,Intermediate,Basic,Java,4.4,Tutor,Medium,126,87,Promoted
Student_108,15,Male,India,Karnataka,Bangalore,Business,Middle,Intermediate,Advanced,SQL,4.12,College,Medium,119,89,Promoted
Student_109,7,Male,India,West Bengal,Kolkata,Engineer,High,Intermediate,Intermediate,C++,4,Tutor,Medium,93,86,Promoted
Student_110,8,Male,India,Delhi,Dwarka,Doctor,High,Beginner,Basic,JavaScript,4.06,College,Easy,118,85,Promoted
Student_111,8,Male,India,Karnataka,Mysore,Other,Low,Advanced,Basic,Java,4.49,Tutor,Easy,119,87,Promoted
Student_112,17,Female,India,West Bengal,Durgapur,Doctor,Middle,Beginner,Advanced,JavaScript,5.22,Book,Hard,127,96,Promoted
Student_113,14,Male,India,Karnataka,Bangalore,Doctor,Low,Advanced,Intermediate,Java,2.87,Book,Hard,99,79,Promoted
Student_114,17,Male,India,Karnataka,Bangalore,Other,Low,Advanced,Intermediate,JavaScript,4.74,Book,Easy,86,82,Promoted
Student_115,15,Male,India,Maharashtra,Mumbai,Doctor,High,Beginner,Advanced,Java,5.22,Tutor,Hard,99,83,Promoted
Student_116,6,Male,India,Karnataka,Bangalore,Teacher,Low,Beginner,Intermediate,Java,2.93,Tutor,Hard,100,75,Promoted
Student_117,17,Female,India,Delhi,Karol Bagh,Teacher,Low,Intermediate,Advanced,Java,5.63,College,Medium,101,92,Promoted
Student_118,6,Male,India,Tamil Nadu,Coimbatore,Engineer,Low,Beginner,Advanced,C++,4.88,Tutor,Easy,82,77,Promoted
Student_119,13,Female,India,Delhi,Karol Bagh,Doctor,Low,Intermediate,Basic,C++,3.44,Tutor,Hard,84,78,Promoted
Student_120,11,Male,India,Karnataka,Mysore,Government Job,High,Intermediate,Basic,JavaScript,3.88,Book,Hard,88,82,Promoted
Student_121,15,Male,India,Tamil Nadu,Chennai,Teacher,High,Beginner,Intermediate,Python,5.35,Book,Easy,142,100,Promoted
Student_122,9,Male,India,West Bengal,Howrah,Doctor,Middle,Beginner,Basic,Java,5,Tutor,Medium,159,97,Promoted
Student_123,10,Male,India,Karnataka,Hubli,Government Job,Low,Beginner,Intermediate,SQL,4.29,Book,Easy,120,88,Promoted
Student_124,16,Female,India,Delhi,New Delhi,Business,Low,Intermediate,Advanced,SQL,4.42,Online Learning,Medium,89,73,Skipped
Student_125,9,Female,India,Maharashtra,Nagpur,Teacher,High,Beginner,Basic,SQL,4.65,PDF,Medium,153,97,Promoted
Student_126,13,Female,India,Tamil Nadu,Chennai,Other,Low,Beginner,Intermediate,Java,4.97,College,Easy,99,88,Promoted
Student_127,17,Female,India,Delhi,Dwarka,Engineer,High,Intermediate,Advanced,C++,4.33,College,Easy,140,100,Promoted
Student_128,9,Male,India,West Bengal,Durgapur,Business,Middle,Intermediate,Basic,SQL,5.19,College,Easy,132,94,Promoted
Student_129,16,Female,India,Karnataka,Mysore,Other,High,Advanced,Intermediate,C++,4.41,Tutor,Medium,153,98,Promoted
Student_130,11,Male,India,Maharashtra,Pune,Engineer,Low,Intermediate,Basic,Python,2.94,Book,Medium,85,80,Promoted
Student_131,10,Male,India,West Bengal,Kolkata,Government Job,High,Intermediate,Intermediate,C++,4.7,Online Learning,Easy,90,89,Promoted
Student_132,8,Male,India,West Bengal,Durgapur,Engineer,Middle,Advanced,Basic,SQL,4.82,PDF,Easy,128,93,Promoted
Student_133,13,Female,India,Delhi,Dwarka,Other,High,Intermediate,Advanced,JavaScript,4.87,Online Learning,Medium,96,89,Promoted
Student_134,8,Female,India,Maharashtra,Nagpur,Business,Middle,Intermediate,Advanced,SQL,5.33,College,Hard,101,82,Promoted
Student_135,12,Female,India,West Bengal,Howrah,Teacher,High,Intermediate,Basic,JavaScript,3.91,College,Medium,88,82,Promoted
Student_136,14,Male,India,Karnataka,Bangalore,Other,Middle,Beginner,Intermediate,Python,3.79,Online Learning,Medium,91,74,Skipped
Student_137,6,Female,India,Delhi,New Delhi,Business,Middle,Advanced,Intermediate,JavaScript,3.73,Online Learning,Medium,109,91,Promoted
Student_138,12,Male,India,Tamil Nadu,Chennai,Other,Middle,Beginner,Advanced,C++,4.23,PDF,Hard,125,95,Promoted
Student_139,17,Female,India,Karnataka,Bangalore,Teacher,Low,Advanced,Basic,JavaScript,4.36,Tutor,Hard,157,94,Promoted
Student_140,15,Female,India,Maharashtra,Mumbai,Government Job,Low,Advanced,Advanced,JavaScript,2.66,College,Hard,141,88,Promoted
Student_141,9,Female,India,Maharashtra,Pune,Engineer,Low,Beginner,Intermediate,JavaScript,4.03,Book,Hard,147,98,Promoted
Student_142,17,Female,India,Karnataka,Bangalore,Teacher,High,Beginner,Advanced,SQL,2.61,Tutor,Hard,83,68,Skipped
Student_143,15,Male,India,West Bengal,Durgapur,Other,Middle,Intermediate,Intermediate,Python,4.03,Online Learning,Hard,105,90,Promoted
Student_144,13,Male,India,Delhi,New Delhi,Business,High,Beginner,Advanced,SQL,6.23,Online Learning,Easy,104,89,Promoted
Student_145,7,Male,India,Karnataka,Bangalore,Teacher,High,Beginner,Basic,SQL,4.95,Online Learning,Medium,140,100,Promoted
Student_146,8,Male,India,Tamil Nadu,Coimbatore,Business,Middle,Beginner,Basic,Python,4.97,Book,Hard,130,92,Promoted
Student_147,11,Male,India,Karnataka,Mysore,Doctor,High,Advanced,Basic,C++,5.92,College,Easy,107,84,Promoted
Student_148,17,Female,India,Karnataka,Bangalore,Doctor,Low,Beginner,Intermediate,SQL,5.71,Tutor,Medium,93,93,Promoted
Student_149,11,Female,India,Maharashtra,Pune,Teacher,High,Advanced,Advanced,JavaScript,4.4,Online Learning,Hard,159,100,Promoted
Student_150,14,Female,India,West Bengal,Howrah,Engineer,High,Beginner,Basic,C++,4.64,PDF,Medium,155,100,Promoted
Student_151,15,Male,India,West Bengal,Howrah,Engineer,Middle,Beginner,Intermediate,Java,2.6,Tutor,Easy,105,82,Promoted
Student_152,13,Male,India,Tamil Nadu,Coimbatore,Other,High,Intermediate,Advanced,SQL,6.06,Book,Easy,109,78,Promoted
Student_153,14,Female,India,Delhi,Karol Bagh,Other,Middle,Advanced,Basic,SQL,4.15,Tutor,Medium,111,85,Promoted
Student_154,6,Female,India,Maharashtra,Nagpur,Engineer,High,Intermediate,Advanced,Java,6.56,Online Learning,Medium,92,82,Promoted
Student_155,9,Male,India,West Bengal,Howrah,Doctor,Middle,Intermediate,Advanced,SQL,6.07,College,Medium,136,91,Promoted
Student_156,8,Male,India,Tamil Nadu,Chennai,Doctor,Middle,Advanced,Basic,C++,6.85,Online Learning,Hard,81,81,Promoted
Student_157,17,Male,India,Tamil Nadu,Chennai,Government Job,High,Advanced,Intermediate,Java,2.67,College,Hard,80,69,Skipped
Student_158,11,Female,India,West Bengal,Kolkata,Other,High,Advanced,Intermediate,Java,5.19,College,Hard,119,90,Promoted
Student_159,14,Female,India,Tamil Nadu,Madurai,Government Job,High,Beginner,Basic,JavaScript,3.77,Online Learning,Medium,123,96,Promoted
Student_160,13,Female,India,Tamil Nadu,Chennai,Government Job,High,Intermediate,Basic,Python,4.52,Book,Medium,126,98,Promoted
Student_161,12,Female,India,Karnataka,Bangalore,Engineer,Low,Advanced,Basic,Python,4.75,Book,Easy,136,96,Promoted
Student_162,6,Female,India,Tamil Nadu,Madurai,Engineer,Low,Intermediate,Basic,C++,5.06,College,Hard,128,86,Promoted
Student_163,7,Male,India,Karnataka,Hubli,Business,High,Beginner,Intermediate,C++,3.3,Book,Easy,150,94,Promoted
Student_164,16,Male,India,Tamil Nadu,Chennai,Doctor,Low,Beginner,Advanced,C++,5.39,Online Learning,Easy,111,84,Promoted
Student_165,13,Male,India,Delhi,New Delhi,Business,Middle,Beginner,Intermediate,Java,4.7,PDF,Hard,143,96,Promoted
Student_166,13,Female,India,Karnataka,Hubli,Teacher,High,Beginner,Intermediate,C++,3.25,College,Easy,109,78,Promoted
Student_167,8,Female,India,Karnataka,Mysore,Business,High,Intermediate,Basic,Python,3.61,Book,Medium,120,81,Promoted
Student_168,16,Male,India,West Bengal,Kolkata,Government Job,Low,Intermediate,Basic,Java,5.59,Tutor,Hard,106,96,Promoted
Student_169,14,Female,India,Maharashtra,Mumbai,Teacher,High,Intermediate,Basic,C++,5.13,Book,Medium,94,75,Promoted
Student_170,16,Male,India,Maharashtra,Pune,Government Job,Middle,Beginner,Basic,SQL,2.54,Tutor,Medium,105,80,Promoted
Student_171,15,Female,India,Tamil Nadu,Coimbatore,Doctor,Middle,Beginner,Advanced,JavaScript,4.13,Tutor,Hard,97,78,Promoted
Student_172,13,Male,India,Tamil Nadu,Coimbatore,Government Job,High,Beginner,Advanced,C++,4.27,College,Hard,102,82,Promoted
Student_173,9,Female,India,West Bengal,Howrah,Engineer,Middle,Intermediate,Basic,SQL,6.19,Online Learning,Easy,133,100,Promoted
Student_174,11,Female,India,Maharashtra,Nagpur,Doctor,High,Advanced,Advanced,Java,3.05,Online Learning,Hard,140,94,Promoted
Student_175,6,Male,India,West Bengal,Durgapur,Other,Low,Advanced,Intermediate,Java,3.24,Tutor,Easy,120,79,Promoted
Student_176,15,Male,India,Karnataka,Bangalore,Other,Low,Beginner,Intermediate,Python,4.3,College,Hard,99,89,Promoted
Student_177,6,Female,India,Tamil Nadu,Coimbatore,Other,High,Advanced,Advanced,C++,6.25,Tutor,Medium,150,99,Promoted
Student_178,10,Male,India,Tamil Nadu,Chennai,Business,Low,Intermediate,Intermediate,Java,1.83,Book,Hard,117,81,Promoted
Student_179,8,Male,India,Maharashtra,Mumbai,Business,High,Advanced,Basic,Python,4.5,Online Learning,Hard,87,85,Promoted
Student_180,15,Female,India,West Bengal,Howrah,Government Job,Middle,Beginner,Advanced,SQL,5.14,Tutor,Easy,153,100,Promoted
Student_181,11,Female,India,Delhi,Karol Bagh,Government Job,Middle,Intermediate,Intermediate,Java,2.16,College,Medium,119,84,Promoted
Student_182,14,Female,India,West Bengal,Kolkata,Doctor,Low,Beginner,Advanced,Python,3.32,PDF,Easy,158,100,Promoted
Student_183,11,Female,India,West Bengal,Durgapur,Business,Low,Beginner,Basic,Python,4.14,Online Learning,Easy,106,82,Promoted
Student_184,7,Male,India,Tamil Nadu,Madurai,Doctor,Low,Advanced,Advanced,SQL,5.11,Book,Hard,87,84,Promoted
Student_185,17,Male,India,Tamil Nadu,Chennai,Engineer,Low,Intermediate,Intermediate,Python,4.9,Book,Hard,97,83,Promoted
Student_186,14,Male,India,Delhi,Dwarka,Doctor,Middle,Beginner,Intermediate,JavaScript,6.1,College,Easy,157,100,Promoted
Student_187,8,Female,India,Delhi,Dwarka,Teacher,Low,Advanced,Basic,JavaScript,3.08,Book,Easy,97,79,Promoted
Student_188,9,Male,India,Delhi,Dwarka,Other,Low,Intermediate,Basic,Java,4.42,PDF,Easy,158,100,Promoted
Student_189,17,Male,India,Delhi,Dwarka,Teacher,Low,Advanced,Basic,Python,2.5,College,Easy,132,84,Promoted
Student_190,7,Female,India,Maharashtra,Mumbai,Government Job,Low,Intermediate,Intermediate,Java,6.27,Book,Medium,109,94,Promoted
Student_191,16,Male,India,Karnataka,Bangalore,Government Job,High,Intermediate,Intermediate,JavaScript,2.03,Tutor,Easy,153,94,Promoted
Student_192,13,Female,India,Maharashtra,Pune,Other,High,Advanced,Intermediate,Python,2.12,PDF,Hard,117,89,Promoted
Student_193,10,Female,India,Karnataka,Bangalore,Other,Low,Intermediate,Basic,Python,4.36,Online Learning,Easy,83,86,Promoted
Student_194,13,Male,India,Tamil Nadu,Chennai,Engineer,Low,Advanced,Advanced,Python,3.4,Tutor,Hard,157,93,Promoted
Student_195,9,Female,India,Maharashtra,Mumbai,Government Job,Low,Advanced,Intermediate,C++,3.93,College,Hard,150,100,Promoted
Student_196,11,Female,India,Maharashtra,Pune,Doctor,Middle,Advanced,Advanced,C++,3.4,College,Easy,152,94,Promoted
Student_197,7,Male,India,West Bengal,Durgapur,Doctor,High,Beginner,Advanced,C++,4.59,College,Easy,114,87,Promoted
Student_198,6,Male,India,Delhi,Dwarka,Business,Low,Advanced,Basic,JavaScript,4.98,College,Easy,87,88,Promoted
Student_199,7,Male,India,Tamil Nadu,Chennai,Teacher,Middle,Intermediate,Basic,SQL,4.92,Book,Medium,96,93,Promoted
Student_200,7,Male,India,West Bengal,Howrah,Other,High,Advanced,Advanced,JavaScript,4.46,Book,Easy,119,82,Promoted
Student_201,15,Female,India,Delhi,Karol Bagh,Engineer,Low,Beginner,Advanced,Python,4.7,Book,Easy,120,91,Promoted
Student_202,6,Female,India,West Bengal,Durgapur,Business,High,Intermediate,Advanced,Python,5.51,Online Learning,Easy,141,96,Promoted
Student_203,17,Female,India,Maharashtra,Mumbai,Government Job,Low,Advanced,Basic,C++,5.65,PDF,Medium,138,100,Promoted
Student_204,9,Female,India,Karnataka,Mysore,Business,High,Beginner,Advanced,C++,4.86,PDF,Hard,106,83,Promoted
Student_205,14,Female,India,Delhi,Karol Bagh,Government Job,Middle,Beginner,Intermediate,JavaScript,5.12,Online Learning,Medium,159,98,Promoted
Student_206,6,Male,India,Maharashtra,Mumbai,Teacher,Low,Intermediate,Advanced,SQL,2.29,College,Easy,128,89,Promoted
Student_207,7,Male,India,Karnataka,Hubli,Engineer,Middle,Intermediate,Intermediate,JavaScript,4.75,Online Learning,Hard,106,90,Promoted
